postcode,field,value,threshold
2145,census_population,87531.0,64078.79999999994
2148,census_population,67483.0,64078.79999999994
2155,census_population,75699.0,64078.79999999994
2170,census_population,114479.0,64078.79999999994
2250,census_population,71168.0,64078.79999999994
2259,census_population,66236.0,64078.79999999994
2560,census_population,82543.0,64078.79999999994
3023,census_population,67146.0,64078.79999999994
3029,census_population,129888.0,64078.79999999994
3030,census_population,119201.0,64078.79999999994
3064,census_population,114413.0,64078.79999999994
3350,census_population,66022.0,64078.79999999994
3977,census_population,117143.0,64078.79999999994
4207,census_population,68477.0,64078.79999999994
4209,census_population,74284.0,64078.79999999994
4300,census_population,68675.0,64078.79999999994
4305,census_population,64356.0,64078.79999999994
4350,census_population,115218.0,64078.79999999994
4551,census_population,68286.0,64078.79999999994
4655,census_population,66789.0,64078.79999999994
4670,census_population,84718.0,64078.79999999994
4740,census_population,85500.0,64078.79999999994
4870,census_population,73803.0,64078.79999999994
6065,census_population,68443.0,64078.79999999994
6112,census_population,70564.0,64078.79999999994
6164,census_population,66124.0,64078.79999999994
6210,census_population,75034.0,64078.79999999994
2427,census_median_age,64.0,61.0
2466,census_median_age,62.0,61.0
3709,census_median_age,62.0,61.0
3880,census_median_age,63.0,61.0
3889,census_median_age,63.0,61.0
3929,census_median_age,63.0,61.0
3943,census_median_age,64.0,61.0
3944,census_median_age,68.0,61.0
3965,census_median_age,62.0,61.0
4493,census_median_age,65.0,61.0
4507,census_median_age,63.0,61.0
4580,census_median_age,63.0,61.0
5106,census_median_age,79.0,61.0
5214,census_median_age,62.0,61.0
5221,census_median_age,62.0,61.0
5522,census_median_age,62.0,61.0
5581,census_median_age,65.0,61.0
5583,census_median_age,62.0,61.0
5601,census_median_age,66.0,61.0
6042,census_median_age,64.0,61.0
6079,census_median_age,66.0,61.0
6385,census_median_age,62.0,61.0
6631,census_median_age,62.0,61.0
0885,census_median_household_income_weekly,3333.0,3176.599999999998
2023,census_median_household_income_weekly,3315.0,3176.599999999998
2024,census_median_household_income_weekly,3197.0,3176.599999999998
2030,census_median_household_income_weekly,3481.0,3176.599999999998
2039,census_median_household_income_weekly,3196.0,3176.599999999998
2063,census_median_household_income_weekly,3874.0,3176.599999999998
2068,census_median_household_income_weekly,3232.0,3176.599999999998
2069,census_median_household_income_weekly,3310.0,3176.599999999998
2073,census_median_household_income_weekly,3414.0,3176.599999999998
2092,census_median_household_income_weekly,4184.0,3176.599999999998
2094,census_median_household_income_weekly,3251.0,3176.599999999998
2110,census_median_household_income_weekly,3368.0,3176.599999999998
2172,census_median_household_income_weekly,3185.0,3176.599999999998
2225,census_median_household_income_weekly,3204.0,3176.599999999998
2619,census_median_household_income_weekly,3403.0,3176.599999999998
2769,census_median_household_income_weekly,3285.0,3176.599999999998
3090,census_median_household_income_weekly,3190.0,3176.599999999998
3647,census_median_household_income_weekly,3374.0,3176.599999999998
4065,census_median_household_income_weekly,3394.0,3176.599999999998
6011,census_median_household_income_weekly,3454.0,3176.599999999998
6015,census_median_household_income_weekly,3700.0,3176.599999999998
6631,census_median_household_income_weekly,3250.0,3176.599999999998
6713,census_median_household_income_weekly,3664.0,3176.599999999998
6714,census_median_household_income_weekly,3188.0,3176.599999999998
6720,census_median_household_income_weekly,3290.0,3176.599999999998
6721,census_median_household_income_weekly,3369.0,3176.599999999998
6754,census_median_household_income_weekly,3215.0,3176.599999999998
0822,census_avg_household_size,3.8,3.3
0852,census_avg_household_size,4.0,3.3
0854,census_avg_household_size,3.5,3.3
0872,census_avg_household_size,3.6,3.3
2171,census_avg_household_size,3.6,3.3
2174,census_avg_household_size,3.4,3.3
2178,census_avg_household_size,3.4,3.3
2190,census_avg_household_size,3.4,3.3
2661,census_avg_household_size,3.4,3.3
2761,census_avg_household_size,3.4,3.3
2768,census_avg_household_size,3.4,3.3
2769,census_avg_household_size,3.5,3.3
3026,census_avg_household_size,3.5,3.3
3064,census_avg_household_size,3.4,3.3
3336,census_avg_household_size,3.4,3.3
3804,census_avg_household_size,3.4,3.3
3975,census_avg_household_size,3.5,3.3
4117,census_avg_household_size,3.5,3.3
4830,census_avg_household_size,3.7,3.3
4876,census_avg_household_size,3.5,3.3
4892,census_avg_household_size,3.4,3.3
6628,census_avg_household_size,3.6,3.3
6762,census_avg_household_size,4.2,3.3
6799,census_avg_household_size,3.8,3.3
2145,census_age_20_44_count,36053.0,21652.0
2148,census_age_20_44_count,27524.0,21652.0
2150,census_age_20_44_count,21654.0,21652.0
2155,census_age_20_44_count,27155.0,21652.0
2170,census_age_20_44_count,41229.0,21652.0
2250,census_age_20_44_count,21895.0,21652.0
2560,census_age_20_44_count,29042.0,21652.0
2570,census_age_20_44_count,23415.0,21652.0
3000,census_age_20_44_count,34401.0,21652.0
3023,census_age_20_44_count,25253.0,21652.0
3029,census_age_20_44_count,58840.0,21652.0
3030,census_age_20_44_count,47946.0,21652.0
3064,census_age_20_44_count,48913.0,21652.0
3350,census_age_20_44_count,21788.0,21652.0
3810,census_age_20_44_count,21695.0,21652.0
3977,census_age_20_44_count,45597.0,21652.0
4207,census_age_20_44_count,24076.0,21652.0
4209,census_age_20_44_count,30134.0,21652.0
4300,census_age_20_44_count,26824.0,21652.0
4350,census_age_20_44_count,37368.0,21652.0
4670,census_age_20_44_count,22175.0,21652.0
4740,census_age_20_44_count,28195.0,21652.0
4870,census_age_20_44_count,25118.0,21652.0
6065,census_age_20_44_count,24197.0,21652.0
6107,census_age_20_44_count,22007.0,21652.0
6112,census_age_20_44_count,27817.0,21652.0
6164,census_age_20_44_count,26443.0,21652.0
2026,census_households_weekly_income_3000_plus_count,6224.0,5335.199999999999
2031,census_households_weekly_income_3000_plus_count,5589.0,5335.199999999999
2065,census_households_weekly_income_3000_plus_count,6439.0,5335.199999999999
2066,census_households_weekly_income_3000_plus_count,5843.0,5335.199999999999
2088,census_households_weekly_income_3000_plus_count,5358.0,5335.199999999999
2145,census_households_weekly_income_3000_plus_count,7999.0,5335.199999999999
2153,census_households_weekly_income_3000_plus_count,8159.0,5335.199999999999
2154,census_households_weekly_income_3000_plus_count,5398.0,5335.199999999999
2155,census_households_weekly_income_3000_plus_count,10844.0,5335.199999999999
2170,census_households_weekly_income_3000_plus_count,6432.0,5335.199999999999
2250,census_households_weekly_income_3000_plus_count,5479.0,5335.199999999999
2570,census_households_weekly_income_3000_plus_count,6188.0,5335.199999999999
2611,census_households_weekly_income_3000_plus_count,5342.0,5335.199999999999
2615,census_households_weekly_income_3000_plus_count,5488.0,5335.199999999999
3029,census_households_weekly_income_3000_plus_count,7976.0,5335.199999999999
3030,census_households_weekly_income_3000_plus_count,10129.0,5335.199999999999
3064,census_households_weekly_income_3000_plus_count,5793.0,5335.199999999999
3150,census_households_weekly_income_3000_plus_count,6001.0,5335.199999999999
3977,census_households_weekly_income_3000_plus_count,6866.0,5335.199999999999
4053,census_households_weekly_income_3000_plus_count,5496.0,5335.199999999999
4069,census_households_weekly_income_3000_plus_count,5495.0,5335.199999999999
4152,census_households_weekly_income_3000_plus_count,6264.0,5335.199999999999
4350,census_households_weekly_income_3000_plus_count,6431.0,5335.199999999999
4740,census_households_weekly_income_3000_plus_count,6771.0,5335.199999999999
6018,census_households_weekly_income_3000_plus_count,5421.0,5335.199999999999
6065,census_households_weekly_income_3000_plus_count,5901.0,5335.199999999999
6164,census_households_weekly_income_3000_plus_count,6444.0,5335.199999999999
2026,census_bachelor_degree_count,10482.0,9078.8
2031,census_bachelor_degree_count,9468.0,9078.8
2065,census_bachelor_degree_count,10392.0,9078.8
2066,census_bachelor_degree_count,9453.0,9078.8
2077,census_bachelor_degree_count,10055.0,9078.8
2145,census_bachelor_degree_count,15525.0,9078.8
2148,census_bachelor_degree_count,9588.0,9078.8
2150,census_bachelor_degree_count,9320.0,9078.8
2153,census_bachelor_degree_count,12580.0,9078.8
2155,census_bachelor_degree_count,15060.0,9078.8
2170,census_bachelor_degree_count,12491.0,9078.8
3000,census_bachelor_degree_count,13454.0,9078.8
3029,census_bachelor_degree_count,18492.0,9078.8
3030,census_bachelor_degree_count,17514.0,9078.8
3064,census_bachelor_degree_count,12795.0,9078.8
3121,census_bachelor_degree_count,10155.0,9078.8
3150,census_bachelor_degree_count,13568.0,9078.8
3216,census_bachelor_degree_count,9616.0,9078.8
3350,census_bachelor_degree_count,9458.0,9078.8
3977,census_bachelor_degree_count,11612.0,9078.8
4101,census_bachelor_degree_count,9498.0,9078.8
4152,census_bachelor_degree_count,10045.0,9078.8
4350,census_bachelor_degree_count,13334.0,9078.8
4870,census_bachelor_degree_count,9363.0,9078.8
6018,census_bachelor_degree_count,9086.0,9078.8
6155,census_bachelor_degree_count,9597.0,9078.8
6164,census_bachelor_degree_count,9269.0,9078.8
