merchant_abn,merchant_name,merchant_category,merchant_pricing_level,merchant_take_rate_pct,has_merchant_master_record,total_transactions,total_revenue,avg_transaction_value,unique_consumers,repeat_consumer_share,first_order_date,last_order_date,active_months_all_time,potential_months_in_window,active_months_in_window,transactions_in_window,normalized_monthly_revenue_trend,monthly_revenue_cv,low_sample_short_window,low_sample_few_transactions,low_sample_few_active_months,low_sample_growth_estimate,estimated_bnpl_revenue,regional_data_coverage_rate_all_sources,census_data_coverage_rate,seifa_data_coverage_rate,ato_data_coverage_rate,regional_data_coverage_rate_all_sources_by_count,census_data_coverage_rate_by_count,seifa_data_coverage_rate_by_count,ato_data_coverage_rate_by_count,ato_small_denominator_share_of_matched,census_population,census_median_household_income_weekly,census_avg_household_size,census_single_parent_family_share,census_couple_with_children_family_share,census_unemployment_rate_published_pct,census_labour_force_participation_rate_published_pct,seifa_irsd_national_decile,seifa_irsad_national_decile,seifa_ier_national_decile,ato_taxable_income_or_loss_per_reporter,ato_salary_or_wages_per_recipient,ato_net_tax_payer_share,value_score,customer_score,growth_score,market_score,stability_score,preliminary_score,preliminary_rank,balanced_score,balanced_rank,value_focused_score,value_focused_rank,growth_focused_score,growth_focused_rank,best_rank,worst_rank,rank_range,fraud_risk_index,fraud_risk_equal_weight,fraud_risk_consumer_70_direct_30,fraud_risk_consumer_30_direct_70,has_consumer_risk_information,has_direct_merchant_fraud_information,fraud_evidence_status,consumer_exposure_percentile,direct_merchant_fraud_percentile,merchant_fraud_observation_count,fraud_risk_index_filled,risk_safety_score,final_score,final_rank,rank_change_after_fraud,fraud_5_score,fraud_5_rank,fraud_10_score,fraud_10_rank,fraud_15_score,fraud_15_rank,fraud_weight_best_rank,fraud_weight_worst_rank,fraud_weight_rank_range,industry_group,segment_rank
94493496784,Dictum Phasellus In Institute,"gift, card, novelty, and souvenir shops",A,5.65,True,99176,9115635.921792226,91.91372833943925,23660,0.935207100591716,2021-02-28,2022-10-26,21,19,19,93829,0.0152225037626344,0.1836920033034539,False,False,False,False,515033.4295812608,0.8090017446368027,0.8368229426488424,0.8368229426488424,0.8300811775987402,0.8082802290876825,0.8358473824312334,0.8358473824312334,0.8287186416068404,0.0945260314640645,9690.575986778616,1607.6439273306312,2.4637067736401193,0.1378841167551729,0.3961825814216426,4.593438766647342,59.12125554912157,5.473732808475482,5.474243086941731,5.4921757301841865,68760.25463517667,64437.20221798032,0.7357239667722617,99.70193740685544,99.6274217585693,55.56108484697686,49.92548435171386,93.25702911171932,84.91075643302361,19,84.91075643302361,19,89.60662171377463,7,80.50039695945007,52,7,52,45,0.4207398595060049,0.4207398595060049,0.4623691366417402,0.3791105823702696,True,True,consumer_and_direct,0.5248130523453433,0.3166666666666666,1.0,0.4207398595060049,57.92601404939951,82.21228219466121,17,2,83.5615193138424,13,82.21228219466121,17,80.86304507547999,16,13,17,4,"Art, Gifts, Jewellery & Fashion",1
86710922099,Ac Urna Consulting,art dealers and galleries,B,4.25,True,3994,4997242.629907785,1251.1874386348986,3691,0.0793822812246003,2021-02-28,2022-10-26,21,19,19,3774,0.0157948441990045,0.1907108227473077,False,False,False,False,212382.8117710809,0.8197940875147882,0.8521390456089402,0.8521390456089402,0.8387725393767578,0.8124687030545819,0.8402603905858789,0.8402603905858789,0.8319979969954933,0.0972013241047246,9714.963647199049,1616.677294398093,2.459826762246117,0.1378902146261448,0.3948507983777302,4.594427890345649,59.33030393325383,5.542092603728202,5.5363800360793745,5.518941671677691,68980.99548115121,64595.05997134054,0.7363738685062866,98.01291604570294,84.15300546448088,58.62154764866882,70.83954297069052,88.60413038069171,82.54100956373767,100,82.54100956373767,100,85.86924663734001,136,79.29486825309537,99,99,136,37,0.2349875368230229,0.2349875368230229,0.2349875368230229,0.2349875368230229,True,False,consumer_only,0.2349875368230229,,,0.2349875368230229,76.5012463176977,81.93703323913368,21,79,82.23902140143568,46,81.93703323913368,21,81.63504507683169,6,6,46,40,"Art, Gifts, Jewellery & Fashion",2
68559320474,Aliquam Auctor Associates,"antique shops - sales, repairs, and restoration services",B,4.2,True,35551,7672530.601681003,215.81757479904937,18537,0.5674057290823757,2021-02-28,2022-10-26,21,19,19,33648,0.0163060992343462,0.1877756145572831,False,False,False,False,322246.28527060215,0.8061657795939334,0.8350805372514604,0.8350805372514604,0.8269478825448844,0.8067564906753678,0.8350819948805941,0.8350819948805941,0.8277404292424967,0.0990926699969415,9633.316390460792,1601.5297426569657,2.4623785097192172,0.1375868275607389,0.3960021454449129,4.584562786310971,59.13161546752903,5.4651147006922765,5.467388353468169,5.484695262657798,68511.85991168789,64268.094378606016,0.7352797049398923,98.88226527570792,98.6835568802782,61.63224682756905,47.168405365126674,90.59467529236127,84.96805999866258,17,84.96805999866258,17,89.4162539165986,12,81.25299357362019,27,12,27,15,0.519147971901201,0.519147971901201,0.519147971901201,0.519147971901201,True,False,consumer_only,0.519147971901201,,,0.519147971901201,48.0852028098799,81.27977427978432,27,-10,83.12391713922344,25,81.27977427978432,27,79.43563142034517,41,25,41,16,"Art, Gifts, Jewellery & Fashion",3
12870663624,Vestibulum Ut Eros Corporation,"gift, card, novelty, and souvenir shops",A,6.78,True,13685,1259571.558972803,92.04030390740247,10472,0.2558250572956455,2021-02-28,2022-10-26,21,19,19,12985,0.0188362143155383,0.2074838349543404,False,False,False,False,85398.95169835605,0.8074387840910503,0.8344240608602551,0.8344240608602551,0.8285569971589342,0.8078187796857874,0.8348556814029959,0.8348556814029959,0.8286445012787724,0.0991181657848324,9605.879299781182,1598.44,2.4610877192982477,0.1382075028886846,0.3959708787611007,4.594879649890592,59.110380743982546,5.473851309639298,5.455242966751918,5.487256371814093,68476.227237131,64298.70274855832,0.7351750946241605,95.5290611028316,94.95777446597118,71.28638964916647,42.374565325385,79.17392386165713,82.76898498896264,90,82.76898498896264,90,86.63884335051821,97,80.37328217543914,57,57,97,40,0.3555404486743712,0.3555404486743712,0.3555404486743712,0.3555404486743712,True,False,consumer_only,0.3555404486743712,,,0.3555404486743712,64.44595513256289,80.93668200332267,37,53,81.85283349614267,58,80.93668200332267,37,80.02053051050268,28,28,58,30,"Art, Gifts, Jewellery & Fashion",4
60956456424,Ultricies Dignissim LLP,"gift, card, novelty, and souvenir shops",B,4.69,True,90705,8026970.723500445,88.49535001929823,23499,0.9112728201200052,2021-02-28,2022-10-26,21,19,19,85889,0.0153528006863,0.1874930979074389,False,False,False,False,376464.9269321709,0.808824274567818,0.8361967827059166,0.8361967827059166,0.829051452846631,0.808996196461055,0.8361942561049557,0.8361942561049557,0.8290832919905187,0.0960213824100422,9715.29136287526,1606.952773346342,2.4624795222745006,0.137852921432927,0.3960506949266568,4.596851556422747,59.14172215117252,5.471269102990033,5.473235880398671,5.4901528239202655,68768.9372090572,64436.852740800874,0.736011884688764,99.10581222056632,99.60258320914058,56.10848469768599,49.32935916542474,90.7439661607365,84.3986172486452,38,84.3986172486452,38,89.03730627754629,25,80.07404594692844,68,25,68,43,0.5107636528438704,0.5107636528438704,0.5107636528438704,0.5107636528438704,True,False,consumer_only,0.5107636528438704,,,0.5107636528438704,48.92363471561296,80.85111899534198,40,-2,82.62486812199359,36,80.85111899534198,40,79.07736986869037,54,36,54,18,"Art, Gifts, Jewellery & Fashion",5
45629217853,Lacus Consulting,"gift, card, novelty, and souvenir shops",A,6.98,True,228255,8395062.462198047,36.77931463581541,24081,0.9990448901623686,2021-02-28,2022-10-26,21,19,19,216173,0.0152151279355055,0.1933335455164034,False,False,False,False,585975.3598614237,0.8083833694931952,0.8360195305264804,0.8360195305264804,0.8289929726985786,0.807977919432214,0.8357494907011894,0.8357494907011894,0.8285864493658408,0.0974890154339101,9702.14338135078,1605.2391855905726,2.4644266885201325,0.138006445759149,0.3964586954031001,4.600427753664275,59.169558197564506,5.468289821991853,5.47054068191545,5.491601544956436,68637.36295318895,64360.20204756752,0.7356956630646776,99.87580725285645,99.97516145057128,55.486439412789245,48.23646299056135,87.23563075391888,83.96281133320156,50,83.96281133320156,50,88.76424693831967,34,79.5189068393091,90,34,90,56,0.480852028098799,0.480852028098799,0.480852028098799,0.480852028098799,True,False,consumer_only,0.480852028098799,,,0.480852028098799,51.9147971901201,80.7580099188934,43,7,82.36041062604748,43,80.7580099188934,43,79.15560921173935,52,43,52,9,"Art, Gifts, Jewellery & Fashion",6
93558142492,Dolor Quisque Inc.,shoe shops,B,3.41,True,21838,8851903.693455996,405.3440650909422,14401,0.3824734393444899,2021-02-28,2022-10-26,21,19,19,20694,0.0139462306513512,0.176649278600389,False,False,False,False,301849.91594684945,0.8090294664987326,0.8346456873821967,0.8346456873821967,0.829293391276312,0.807583112006594,0.8342339042036817,0.8342339042036817,0.8275483102848247,0.095949535192563,9604.83077176419,1603.5347458557471,2.4610668133076663,0.1381139151978852,0.3962301149542193,4.5816664836974565,59.12033702931183,5.48065229408513,5.46677722498618,5.50547263681592,68657.31017874186,64345.150124613654,0.735386244542234,98.78291107799303,97.31743666169896,47.69843244588206,46.92001987083954,96.56631002737,82.68086746918851,94,82.68086746918851,94,87.82823596115173,56,77.64569332679213,183,56,183,127,0.3673351461590755,0.3673351461590755,0.367602537956039,0.3670677543621119,True,True,consumer_and_direct,0.3680036256514842,0.3666666666666666,1.0,0.3673351461590755,63.266485384092455,80.7394292606789,45,49,81.7101483649337,62,80.7394292606789,45,79.7687101564241,32,32,62,30,"Art, Gifts, Jewellery & Fashion",7
11439466003,Blandit At LLC,shoe shops,A,5.71,True,29888,4882819.358449807,163.37056204663435,17089,0.4989759494411609,2021-02-28,2022-10-26,21,19,19,28275,0.0142579098554599,0.1885880725085916,False,False,False,False,278808.98536748404,0.8021096451112475,0.8307040662299794,0.8307040662299794,0.8241571739589418,0.8037004817987152,0.8324745717344754,0.8324745717344754,0.8243776766595289,0.0966354153983522,9621.586391222218,1606.1179614967243,2.460293999194517,0.1377970275368328,0.3967321098140725,4.585772276033925,59.195534745388095,5.481578947368421,5.488259109311741,5.475789473684211,68906.53017235843,64513.706341538425,0.7358914392636206,98.53452558370591,98.31097863884747,49.415277432197065,55.489319423745656,89.97263000746455,83.0659842647573,78,83.0659842647573,78,87.67420698033075,62,78.16523679684934,153,62,153,91,0.4033537276229322,0.4033537276229322,0.4033537276229322,0.4033537276229322,True,False,consumer_only,0.4033537276229322,,,0.4033537276229322,59.66462723770678,80.72584856205225,46,32,81.89591641340478,56,80.72584856205225,46,79.55578071069972,38,38,56,18,"Art, Gifts, Jewellery & Fashion",8
98314397036,Lobortis Augue Industries,"gift, card, novelty, and souvenir shops",A,6.47,True,24641,898266.6817435651,36.45414884718823,15407,0.4292204841954956,2021-02-28,2022-10-26,21,19,19,23302,0.0161547343034952,0.1802781088401872,False,False,False,False,58117.85430880866,0.8100857734763744,0.8367819176608003,0.8367819176608003,0.8321024600490875,0.8073535976624325,0.8343005559839293,0.8343005559839293,0.8300393652854998,0.101403217131961,9671.670979667282,1613.1576515225215,2.46558799161752,0.1372211885369901,0.3973533665011037,4.585810876544428,59.24248954178437,5.526540214674313,5.520952801058668,5.554526295152674,69057.83455200733,64671.69570683645,0.7361310041868485,89.79135618479881,97.71485345255836,60.91067429708883,66.93989071038251,95.34710126897238,84.54430933938112,32,84.54430933938112,32,87.13091670748743,80,81.26006628722213,26,26,80,54,0.5365964196691593,0.5365964196691593,0.5365964196691593,0.5365964196691593,True,False,consumer_only,0.5365964196691593,,,0.5365964196691593,46.34035803308407,80.72391420875141,47,-15,82.63411177406627,35,80.72391420875141,47,78.81371664343655,61,35,61,26,"Art, Gifts, Jewellery & Fashion",9
79417999332,Phasellus At Company,"gift, card, novelty, and souvenir shops",B,4.95,True,99226,9126402.79723236,91.97592160555055,23731,0.932493363111542,2021-02-28,2022-10-26,21,19,19,94026,0.0152216028528696,0.1901543242742541,False,False,False,False,451756.93846300186,0.8054897530336889,0.8331686010119619,0.8331686010119619,0.826721690037886,0.807056618225062,0.8346804265011186,0.8346804265011186,0.827877773970532,0.0987011089875467,9687.953973581898,1607.5075100818624,2.461880691231451,0.1376921757930285,0.3963496454864813,4.574934196228041,59.24261307382043,5.4925498400496275,5.486772164986073,5.505552649824237,68798.62989617152,64440.25918861192,0.7361745160632047,99.57774465971188,99.652260307998,55.53620303558099,54.86835568802781,88.87783030604628,84.71213919673897,24,84.71213919673897,24,89.14968572652973,20,80.30425925191159,61,20,61,41,0.5841830953999547,0.5841830953999547,0.5841830953999547,0.5841830953999547,True,False,consumer_only,0.5841830953999547,,,0.5841830953999547,41.58169046000453,80.39909432306553,56,-32,82.55561675990225,38,80.39909432306553,56,78.24257188622882,84,38,84,46,"Art, Gifts, Jewellery & Fashion",10
