merchant_abn,merchant_name,merchant_category,merchant_pricing_level,merchant_take_rate_pct,has_merchant_master_record,total_transactions,total_revenue,avg_transaction_value,unique_consumers,repeat_consumer_share,first_order_date,last_order_date,active_months_all_time,potential_months_in_window,active_months_in_window,transactions_in_window,normalized_monthly_revenue_trend,monthly_revenue_cv,low_sample_short_window,low_sample_few_transactions,low_sample_few_active_months,low_sample_growth_estimate,estimated_bnpl_revenue,regional_data_coverage_rate_all_sources,census_data_coverage_rate,seifa_data_coverage_rate,ato_data_coverage_rate,regional_data_coverage_rate_all_sources_by_count,census_data_coverage_rate_by_count,seifa_data_coverage_rate_by_count,ato_data_coverage_rate_by_count,ato_small_denominator_share_of_matched,census_population,census_median_household_income_weekly,census_avg_household_size,census_single_parent_family_share,census_couple_with_children_family_share,census_unemployment_rate_published_pct,census_labour_force_participation_rate_published_pct,seifa_irsd_national_decile,seifa_irsad_national_decile,seifa_ier_national_decile,ato_taxable_income_or_loss_per_reporter,ato_salary_or_wages_per_recipient,ato_net_tax_payer_share,value_score,customer_score,growth_score,market_score,stability_score,preliminary_score,preliminary_rank,balanced_score,balanced_rank,value_focused_score,value_focused_rank,growth_focused_score,growth_focused_rank,best_rank,worst_rank,rank_range,fraud_risk_index,knn_score,knn_merchant_risk_percentile,risk_safety_score,has_consumer_risk_information,has_direct_merchant_fraud_information,fraud_evidence_status,consumer_exposure_percentile,has_knn_merchant_risk_information,merchant_fraud_observation_count,fraud_risk_index_filled,final_score,final_rank,rank_change_after_fraud,fraud_5_score,fraud_5_rank,fraud_10_score,fraud_10_rank,fraud_15_score,fraud_15_rank,fraud_weight_best_rank,fraud_weight_worst_rank,fraud_weight_rank_range
10023283211,Felis Limited,"furniture, home furnishings and equipment shops, and manufacturers, except appliances",E,0.18,True,3261,703277.7114509275,215.66320498341844,3032,0.07189973614775726,2021-02-28,2022-10-26,21,19,19,3073,0.01877855555953209,0.18396328305722978,False,False,False,False,1265.8998806116695,0.8099861267690328,0.8303252553328975,0.8303252553328975,0.8289778747552892,0.8068077276908924,0.8298068077276909,0.8298068077276909,0.8291934989267096,0.10170118343195267,9591.873244641538,1598.090539541759,2.4625739644970417,0.13773161939564865,0.39671417970374845,4.545195861049519,59.15934959349594,5.4263450834879405,5.412987012987013,5.455658627087199,68260.37173856924,63998.1115410909,0.7348775345879252,21.48534525583706,81.18479880774963,71.0873351579995,30.42722305017387,93.13262005473999,57.97188562351681,1564,57.97188562351681,1564,55.04469223869185,1741,59.94711193613742,1437,1437,1741,304,0.4477085524851956,0.5378328336045118,0.3155394707079846,55.22914475148044,True,False,consumer_and_knn,0.5798776342624066,True,,0.4477085524851956,57.697611536313175,1510,54,57.83474857991499,1534,57.697611536313175,1510,57.56047449271135,1479,1479,1534,55
10142254217,Arcu Ac Orci Corporation,"cable, satellite, and other pay television and radio services",B,4.22,True,3036,118356.14607260344,38.984237836825905,2849,0.06388206388206388,2021-02-28,2022-10-26,21,19,19,2827,0.012203321809132563,0.2000237392441025,False,False,False,False,4994.629364263865,0.8049728685942532,0.8295023284334433,0.8295023284334433,0.8282749574335583,0.8112648221343873,0.8379446640316206,0.8379446640316206,0.8333333333333334,0.09604743083003953,9638.110062893082,1609.0365566037735,2.466890027591644,0.13771653498437494,0.3973123203179409,4.618710691823896,59.13573113207547,5.512891709639032,5.524395081316937,5.50059500198334,69361.31050465975,64617.995760748854,0.7348254625937451,49.55290611028316,80.22851465474416,38.46728041801443,68.00794833581719,83.15501368499626,61.890503466705034,1336,61.890503466705034,1336,61.522032640041765,1412,59.24816047025511,1483,1336,1483,147,0.5454171587892961,0.6545852801422699,0.6435195657091156,45.45828412107039,True,False,consumer_and_knn,0.4473147518694765,True,,0.5454171587892961,60.24728153214157,1355,-19,61.0688924994233,1340,60.24728153214157,1355,59.425670564859836,1365,1340,1365,25
10165489824,Nunc Sed Company,"jewelry, watch, clock, and silverware shops",B,4.4,True,5,56180.473857030534,11236.094771406108,5,0.0,2021-11-30,2022-09-18,5,11,5,5,-0.09367259460443991,1.4403431340582973,False,True,False,True,2471.9408497093436,0.6326678006845761,0.6326678006845761,0.6326678006845761,0.6326678006845761,0.8,0.8,0.8,0.8,0.25,5728.75,1855.25,2.6999999999999997,0.11442299610570034,0.49040970082627555,4.15,63.625,8.25,8.0,8.5,76144.19384215979,63913.70230402477,0.7828709619025108,37.655240933929456,1.6641828117237953,1.5924359293356556,99.76403378042721,4.205026125901966,22.638262465904933,3604,22.638262465904933,3604,21.335963073809737,3575,20.83153487155584,3658,3575,3658,83,0.1492874915177561,0.5242599133149801,0.2985749830355123,85.0712508482244,True,False,consumer_and_knn,0.0,True,,0.1492874915177561,28.88156130413688,3391,213,25.759911885020905,3511,28.88156130413688,3391,32.003210723252856,3254,3254,3511,257
10187291046,Ultricies Dignissim Lacus Foundation,"watch, clock, and jewelry repair shops",B,3.29,True,336,39693.730387434036,118.13610234355367,335,0.0029850746268656717,2021-03-04,2022-10-25,20,19,19,316,0.014437210311674876,0.25240637681818384,False,False,False,False,1305.9237297465797,0.8086968663469577,0.8533011659055332,0.8533011659055332,0.8349472095732628,0.8184523809523809,0.8690476190476191,0.8690476190476191,0.8392857142857143,0.07092198581560284,9246.856164383562,1595.914383561644,2.4527397260273975,0.13210804426113637,0.3937783198126818,4.485273972602741,59.6332191780822,5.5137931034482754,5.43448275862069,5.548275862068966,68884.84745008886,65123.944931629594,0.7346218320994212,22.255340288127172,46.236959761549926,50.65936800199054,35.29557873820169,63.42373724807166,41.41083408825466,2565,41.41083408825466,2565,39.33862078005777,2583,43.05215588596986,2654,2565,2654,89,0.4528295750566905,0.6592212676050236,0.7907713187061751,54.71704249433095,True,False,consumer_and_knn,0.1148878314072059,True,,0.4528295750566905,42.74145492886229,2491,74,42.07614450855847,2538,42.74145492886229,2491,43.4067653491661,2441,2441,2538,97
10192359162,Enim Condimentum PC,"music shops - musical instruments, pianos, and sheet music",A,6.33,True,385,177980.50545638183,462.2870271594333,383,0.005221932114882507,2021-03-02,2022-10-26,20,19,19,354,0.016985487985078943,0.3266729450768701,False,False,False,False,11266.165995388968,0.8144792322769325,0.835440464463271,0.835440464463271,0.8469278676942626,0.812987012987013,0.8389610389610389,0.8389610389610389,0.8389610389610389,0.08978328173374613,11349.092879256967,1657.421052631579,2.4621118012422363,0.1364634770498063,0.40196148692019634,4.413312693498451,60.091331269349844,5.744548286604362,5.679127725856698,5.73208722741433,70416.45347050585,66239.80455944948,0.7469238076215088,64.00894187779433,48.74565325384997,64.96640955461558,86.28912071535022,48.99228663846728,60.36013285502902,1433,60.36013285502902,1433,59.198250529310165,1533,61.21904405390836,1341,1341,1533,192,0.7610516480553204,0.653776959988613,0.6197692829676543,23.894835194467955,True,False,consumer_and_knn,0.9023340131429868,True,,0.7610516480553204,56.71360308897292,1561,-128,58.53686797200097,1495,56.71360308897292,1561,54.89033820594486,1627,1495,1627,132
10206519221,Fusce Company,"gift, card, novelty, and souvenir shops",A,6.34,True,9621,358222.999801654,37.23344764594678,7900,0.1918987341772152,2021-02-28,2022-10-26,21,19,19,9114,0.011546434195751985,0.22479736884089027,False,False,False,False,22711.338187424866,0.8211847204045392,0.8486889756472473,0.8486889756472473,0.83906077271834,0.8164431971728511,0.8452343831202578,0.8452343831202578,0.836087724768735,0.10106911984087519,9347.404451549435,1596.2504918839154,2.4590359960552286,0.13704024761802497,0.39561134998168807,4.611497786522378,59.17454500737825,5.452177149237067,5.446222553033122,5.479096886242401,68301.5726339485,64135.875332892414,0.7351600687288544,74.76403378042721,92.34972677595628,35.780044787260515,39.2200695479384,71.68449863150038,67.34733253508823,1012,67.34733253508823,1012,71.07373019637102,920,62.569648985995116,1235,920,1235,315,0.5257130838319655,0.5745492976783012,0.382040262384076,47.428691616803455,True,False,consumer_and_knn,0.669385905279855,True,,0.5257130838319655,65.35546844325975,1064,-52,66.35140048917398,1040,65.35546844325975,1064,64.35953639734551,1092,1040,1092,52
10255988167,Aliquam Enim Incorporated,"computers, computer peripheral equipment, and software",B,4.32,True,832,322474.1165856361,387.5890824346588,816,0.0196078431372549,2021-03-01,2022-10-26,20,19,19,789,0.010527293684547126,0.3283567291308898,False,False,False,False,13930.88183649948,0.8044520713851487,0.8266714019108082,0.8266714019108082,0.8303174857772895,0.8040865384615384,0.828125,0.828125,0.8317307692307693,0.10838150289017341,8739.584905660377,1585.6182873730043,2.4529069767441865,0.1349310058598809,0.3957890122706563,4.412772133526849,58.956894049346886,5.422740524781341,5.384839650145772,5.440233236151603,68349.85829072061,64211.04463096652,0.7326514928778085,67.88375558867362,62.357178340784905,32.794227419756155,25.2856433184302,48.66882309032098,52.34215454114071,1895,52.34215454114071,1895,56.22653656309875,1685,49.1095305866434,2206,1685,2206,521,0.5751112782743384,0.6353653876123968,0.5084822438362362,42.48887217256616,True,False,consumer_and_knn,0.6417403127124405,True,,0.5751112782743384,51.35682630428325,1883,12,51.84949042271198,1885,51.35682630428325,1883,50.864162185854525,1887,1883,1887,4
10264435225,Ipsum Primis Ltd,"watch, clock, and jewelry repair shops",C,2.39,True,5026,587225.9354689711,116.83763141045984,4535,0.10165380374862183,2021-02-28,2022-10-26,21,19,19,4742,0.019572858943448943,0.20836256645894347,False,False,False,False,14034.69985770841,0.8145098680745297,0.8398176196748331,0.8398176196748331,0.8330756862984932,0.8074015121368882,0.8352566653402308,0.8352566653402308,0.8276959808993235,0.0920673076923077,9641.89518818485,1605.0721772272511,2.4574122702315604,0.1374182842920378,0.3966464024337779,4.556241067174845,59.12358265840878,5.492189377553473,5.48618120644076,5.509733237202595,68587.70291228358,64301.2604364418,0.7351001055074988,68.0327868852459,86.56234475906606,73.32669818362777,54.59513164431197,78.55187857676039,73.9580568430111,589,73.9580568430111,589,74.36524404013869,739,73.56097007915827,418,418,739,321,0.4501839658310436,0.5473361511853504,0.3345396969011536,54.98160341689564,True,False,consumer_and_knn,0.5658282347609336,True,,0.4501839658310436,72.06041150039955,655,-66,73.00923417170532,622,72.06041150039955,655,71.11158882909378,681,622,681,59
10279061213,Pede Ultrices Industries,"computer programming , data processing, and integrated systems design services",A,5.71,True,555,166058.19172755213,299.2039490586525,549,0.009107468123861567,2021-03-01,2022-10-26,20,19,19,522,0.014579517881243752,0.2659104912576048,False,False,False,False,9481.922747643226,0.8085648799293571,0.8365974634606255,0.8365974634606255,0.8331928944092619,0.8108108108108109,0.836036036036036,0.836036036036036,0.8324324324324325,0.09523809523809523,10436.491379310344,1625.0129310344828,2.459611231101512,0.13997474838167753,0.39302234385386087,4.795474137931035,58.94137931034483,5.538126361655773,5.627450980392157,5.40958605664488,69114.92038298088,65192.96160893521,0.7339252537405321,60.779930452061606,56.3089915548932,51.50534958945011,82.71236959761549,60.03981089823339,59.889505536728365,1460,59.889505536728365,1460,59.256612622581244,1530,59.18559439532564,1492,1460,1530,70,0.3918015765658751,0.6329405354642841,0.4949106536982583,60.81984234341249,True,False,consumer_and_knn,0.2886924994334919,True,,0.3918015765658751,59.98253921739678,1365,95,59.93602237706257,1414,59.98253921739678,1365,60.02905605773098,1330,1330,1414,84
10323485998,Nunc Inc.,"furniture, home furnishings and equipment shops, and manufacturers, except appliances",A,6.61,True,10335,1327030.2646789094,128.40157374735458,8405,0.1983343248066627,2021-02-28,2022-10-26,21,19,19,9751,0.014456672255679983,0.18365335737579613,False,False,False,False,87716.70049527592,0.8080647743952062,0.8360205727568328,0.8360205727568328,0.8313328485803504,0.8086115142718916,0.8363812288340591,0.8363812288340591,0.8313497822931786,0.09054934823091247,9666.71147616844,1609.9737390097177,2.46259126202341,0.13806631209311304,0.39658562421887944,4.571899583526149,59.36360481258675,5.493999766981242,5.495281370150297,5.53349644646394,68870.31626702618,64494.348822519336,0.7361025688079751,95.87680079483358,93.02036761053154,50.73401343617815,58.39542970690512,93.2819109231152,81.99676443747639,125,81.99676443747639,125,86.12797235980557,120,77.62530736082594,184,120,184,64,0.2126920559657154,0.4033146156241077,0.0974892558244741,78.73079440342846,True,False,consumer_and_knn,0.3278948561069567,True,,0.2126920559657154,81.6701674340716,89,36,81.83346593577399,108,81.6701674340716,89,81.5068689323692,74,74,108,34
